ik,I,Ik ben een student.,I am a student.
jij,you (singular),Jij bent mijn vriend.,You are my friend.
je,you (singular/informal),Wat doe je?,What are you doing?
u,you (formal),Bent u de leraar?,Are you the teacher?
hij,he,Hij loopt naar huis.,He is walking home.
zij,she,Zij spreekt Nederlands.,She speaks Dutch.
ze,she/they,Ze is erg aardig.,She is very kind.
het,it,Het is koud vandaag.,It is cold today.
wij,we,Wij gaan naar het park.,We are going to the park.
we,we (short form),Wat gaan we eten?,What are we going to eat?
jullie,you (plural),Wat doen jullie?,What are you all doing?
zij,they,Zij wonen in Amsterdam.,They live in Amsterdam.
mijn,my,Dat is mijn boek.,That is my book.
jouw,your,Is dit jouw auto?,Is this your car.
uw,your (formal),Is dit uw sleutel?,Is this your key?
zijn,his,Zijn hond is groot.,His dog is big.
haar,her,Haar tas is nieuw.,Her bag is new.
ons,our,Dit is ons huis.,This is our house.
onze,our,Onze kat slaapt.,Our cat is sleeping.
hun,their,Hun huis is erg mooi.,Their house is very beautiful.
wie,who,Wie ben jij?,Who are you?
wat,what,Wat is dat?,What is that?
waar,where,Waar woon je?,Where do you live?
wanneer,when,Wanneer kom je?,When are you coming?
waarom,why,Waarom lach je?,Why are you laughing?
hoe,how,Hoe gaat het?,How are you?
welke,which,Welke kleur wil je?,Which color do you want?
zijn,to be,Wij zijn hier.,We are here.
hebben,to have,Ik heb een hond.,I have a dog.
worden,to become,Het wordt donker.,It is getting dark.
kunnen,to be able to,Ik kan zwemmen.,I can swim.
moeten,to must / have to,Ik moet nu gaan.,I have to go now.
willen,to want,Ik wil een ijsje.,I want an ice cream.
zullen,will / shall,Ik zal je helpen.,I will help you.
mogen,to be allowed to,Mag ik hier zitten?,May I sit here?
gaan,to go,Wij gaan naar huis.,We are going home.
komen,to come,Zij komen vandaag.,They are coming today.
doen,to do,Wat doe jij?,What are you doing?
maken,to make,Ik maak een taart.,I am making a cake.
zeggen,to say,Wat zeg je?,What are you saying?
zien,to see,Ik zie een vogel.,I see a bird.
weten,to know,Ik weet het niet.,I do not know.
vinden,to find / think (opinion),Ik vind dat mooi.,I find that beautiful.
denken,to think,Wat denk je?,What do you think?
krijgen,to get / receive,Ik krijg een cadeau.,I am getting a gift.
geven,to give,Zal ik je een hand geven?,Shall I give you a hand?
nemen,to take,Ik neem de trein.,I am taking the train.
blijven,to stay,Wij blijven hier.,We are staying here.
worden,to become,Hij wil dokter worden,He wants to become a doctor
houden van,to love,Ik hou van jou,I love you
horen,to hear,Ik hoor de muziek,I hear the music
luisteren,to listen,Luister naar de leraar,Listen to the teacher
kijken,to look/watch,Ik kijk televisie,I am watching television
zoeken,to look for,Ik zoek mijn sleutels,I am looking for my keys
vinden,to find,Ik kan mijn tas niet vinden,I cannot find my bag
helpen,to help,Kunt u mij helpen?,Can you help me?
begrijpen,to understand,Ik begrijp het niet,I don't understand it
verstaan,to understand (hearing),Ik kan je niet verstaan,I cannot hear/understand you
leren,to learn / study,Ik leer Nederlands,I am learning Dutch
studeren,to study,Zij studeert aan de universiteit,She studies at the university
lezen,to read,Ik lees een boek,I am reading a book
schrijven,to write,Schrijf je naam hier,Write your name here
vragen,to ask,Mag ik iets vragen?,May I ask something?
antwoorden,to answer,Hij antwoordt niet,He doesn't answer
hopen,to hope,Ik hoop dat het gaat regenen,I hope it's going to rain
geloven,to believe,Ik geloof je niet,I don't believe you
vergeten,to forget,Vergeet je tas niet,Don't forget your bag
onthouden,to remember,Ik kan dat niet onthouden,I cannot remember that
proberen,to try,Ik ga het proberen,I am going to try it
gebruiken,to use,Mag ik je telefoon gebruiken?,May I use your phone?
beginnen,to start,De les gaat beginnen,The lesson is going to start
stoppen,to stop,De auto stopt voor het licht,The car stops for the light
eindigen,to end,De film eindigt om tien uur,The movie ends at ten o'clock
wachten,to wait,Ik wacht op de bus,I am waiting for the bus
werken,to work,Hij werkt hard.,He works hard.
slapen,to sleep,Ik ga slapen.,I am going to sleep.
eten,to eat,Wij eten rijst.,We eat rice.
drinken,to drink,Ik drink water.,I drink water.
kopen,to buy,Ik wil dat kopen.,I want to buy that.
betalen,to pay,Ik zal betalen.,I will pay.
bellen,to call,Ik zal je bellen.,I will call you.
